MINISTRY,SECTOR,STATE,AGENCY,ORIGINAL_COST_RS_CRORE,CUMULATIVE_EXPENDITURE_RS_CRORE,PHYSICAL_PROGRESS_PERCENT,START_DATE,ORIGINAL_TARGET_DOC,PROGRESS_CHANGE,EXPENDITURE_CHANGE
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,NHAI,1602.48,1419.77,99.29,2022-01-09,2024-01-09,0.0,-3.519999999999982
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,OFFSHORE,MINISTRY OF PETROLEUM & NATURAL GAS,2329.45,1929.54,95.5,2022-01-06,2026-01-05,-0.0999999999999943,-0.7100000000000364
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NHAI,1877.47,246.41,98.84,2023-01-10,2025-01-11,0.0,-0.0099999999999909
MINISTRY OF RAILWAYS,RAILWAYS,KARNATAKA,SOUTH WESTERN RAILWAY [SWR] - II,1591.0,0.38,0.0,2025-01-03,2027-01-12,,
MINISTRY OF HEALTH & FAMILY WELFARE,HEALTHCARE,JHARKHAND,"MEDICAL EDUCATION, MINISTRY OF HEALTH AND FAMILY WELFARE",250.0,271.0,40.0,2024-01-02,2026-01-08,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,DELHI,NHAI,2067.67,2341.79,100.0,2019-01-10,2021-01-10,0.0,-39.74000000000024
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MADHYA PRADESH,NHAI,652.33,483.18,89.72,2023-01-03,2025-01-03,0.0,-17.79000000000002
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NHAI,1063.57,585.5,90.4,2023-01-09,2025-01-09,0.0,-0.2899999999999636
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TAMIL NADU,NHAI,1243.57,827.88,77.57,2021-01-12,2023-01-12,0.0,0.0
MINISTRY OF COAL,COAL,CHHATTISGARH,SECL - CIL,2415.91,2.35,0.01,2025-01-09,2032-03-01,0.0,-0.6400000000000001
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,"MULTI-STATES (ANDHRA PRADESH, ODISHA)",POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],2722.5,143.2,1.77,2026-01-02,2028-01-08,-1.23,-47.370000000000005
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,MAHARASHTRA,ADANI TRANSMISSION LIMITED,2000.0,18.0,5.0,2025-01-05,2028-01-01,0.0,-7.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (ANDHRA PRADESH, TAMIL NADU)",NHAI,702.52,405.81,98.91,2023-01-10,2025-01-10,-0.8900000000000006,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (HARYANA, UTTAR PRADESH)",NHAI,939.17,246.86,12.5,2025-01-08,2027-01-08,-4.66,-3.3499999999999943
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,PUNJAB,NHAI,1237.65,1383.52,96.78,2023-01-05,2025-01-05,-1.8799999999999957,-8.079999999999927
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,NHAI,991.89,861.63,96.98,2023-01-02,2025-01-02,0.0,-4.2999999999999545
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,BSNL,24544.55,9143.48,98.41,2023-01-06,2025-01-06,-0.1500000000000056,-22.40999999999985
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,NHAI,1141.88,254.24,37.9,2024-01-11,2026-01-11,-2.730000000000004,-1.1699999999999875
MINISTRY OF COAL,COAL,CHHATTISGARH,SECL - CIL,1859.19,0.45,0.0,2024-01-12,2033-03-01,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,NHAI,546.44,420.7,81.63,2022-01-11,2024-01-05,-15.100000000000009,-0.1299999999999954
MINISTRY OF HEALTH & FAMILY WELFARE,HEALTHCARE,BIHAR,"MEDICAL EDUCATION, MINISTRY OF HEALTH AND FAMILY WELFARE",250.0,103.21,50.0,2022-01-10,2025-01-10,0.0,0.0
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,UTTAR PRADESH,BHARAT PETROLEUM CORPORATION LIMITED [BPCL],16654.0,738.62,19.0,2022-01-12,2030-01-06,-0.8000000000000007,-16.08000000000004
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,NHAI,1471.32,1071.0,86.2,2021-01-09,2023-01-09,0.0,0.0
MINISTRY OF RAILWAYS,RAILWAYS,CHHATTISGARH,SECR,177.03,12.3,18.0,2024-01-05,2027-01-01,15.0,-8.779999999999998
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,JAMMU AND KASHMIR,MINISTRYOFPETROLEUMNATURALGAS,538.0,4.3,0.6,2022-01-03,2034-09-01,0.0,-0.1500000000000003
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NHAI,864.2,358.97,54.11,2023-01-12,2025-01-12,-1.4200000000000017,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,NHAI,1240.93,244.38,25.37,2025-01-10,2027-01-10,-1.3999999999999986,-8.060000000000002
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,KARNATAKA,MINISTRY OF PETROLEUM & NATURAL GAS,463.0,321.59,85.0,2022-01-01,2025-01-12,-0.5999999999999943,-6.060000000000002
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,ASSAM,MINISTRYOFPETROLEUMNATURALGAS,277.0,234.57,84.2,2022-01-04,2026-01-09,-0.0999999999999943,-1.5900000000000034
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,NHAI,2002.79,1739.68,100.0,2021-01-05,2023-01-11,0.0,-0.0399999999999636
MINISTRY OF RAILWAYS,RAILWAYS,GUJARAT,WESTERN RAILWAY [WR] - II,437.21,117.95,22.0,2025-01-07,2028-01-06,0.0,-346.01
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,NHAI,1915.99,405.1,23.77,2025-01-09,2027-01-09,-1.0300000000000011,-25.94
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NHAI,1398.84,374.07,48.9,2023-01-10,2025-01-10,-4.800000000000004,-14.800000000000011
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (DADRA & NAGAR HAVELI AND DAMAN & DIU, GUJARAT, MAHARASHTRA)",NHAI,1909.74,1096.51,36.23,2022-01-03,2024-01-03,0.0,-0.8099999999999454
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,BIHAR,MINISTRYOFPETROLEUMNATURALGAS,389.35,130.89,64.60000000000001,2022-01-01,2025-01-04,-1.6999999999999886,6.319999999999993
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NHAI,1103.9,259.07,44.56,2024-01-02,2026-01-02,0.0,-8.54000000000002
MINISTRY OF RAILWAYS,RAILWAYS,GUJARAT,RAILWAY,461.91,186.9,8.0,2023-01-10,2030-01-06,-22.0,44.69
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (BIHAR, JHARKHAND)",NHAI,1719.2,322.79,25.19,2025-01-07,2027-01-06,-2.969999999999999,-17.539999999999964
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,GUJARAT,MINISTRYOFPETROLEUMNATURALGAS,328.29,227.48,87.0,2022-01-01,2025-01-08,-0.7000000000000028,9.310000000000002
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (UTTAR PRADESH, UTTARAKHAND)",NHAI,796.65,507.68,99.29,2022-01-11,2024-01-11,0.0,-0.75
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TAMIL NADU,NHAI,1299.36,189.12,17.24,2023-01-11,2026-01-05,0.0,-4.219999999999999
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,WEST BENGAL,MINISTRYOFPETROLEUMNATURALGAS,609.0,63.62,2.9000000000000004,2022-01-03,,-0.0999999999999996,-0.8200000000000003
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NHAI,747.29,242.62,70.19999999999999,2024-01-02,2026-01-02,0.0,-8.310000000000002
MINISTRY OF PETROLEUM & NATURAL GAS,ENERGY STORAGE,ASSAM,HINDUSTAN PETROLEUM CORPORATION LIMITED [HPCL],384.04,235.27,85.5,2023-01-03,2027-01-07,-2.0,-14.799999999999985
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,NAGALAND,NHIDCL,323.98,143.39,79.03,2023-01-09,2025-01-09,0.0,-3.980000000000018
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KERALA,NHAI,1187.47,778.5,66.88,2023-01-06,2025-01-06,-15.100000000000009,-4.039999999999964
MINISTRY OF RAILWAYS,RAILWAYS,CHHATTISGARH,SECR,328.34,96.2,36.0,2024-01-05,2027-01-01,31.0,-2.009999999999991
MINISTRY OF PETROLEUM & NATURAL GAS,ENERGY STORAGE,RAJASTHAN,HINDUSTAN PETROLEUM CORPORATION LIMITED [HPCL],461.05,235.1,95.8,2023-01-12,2026-01-12,-1.7000000000000028,-17.080000000000013
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NHAI,813.66,223.05,66.12,2024-01-02,2026-01-02,0.0,-0.2999999999999829
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,NHAI,1576.94,313.1,22.0,2025-01-10,2027-01-10,-4.309999999999999,-15.099999999999966
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,NHAI,1856.12,261.76,0.0,2026-01-07,2028-01-07,0.0,-0.0199999999999818
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (ANDHRA PRADESH, TELANGANA)",NHAI,826.01,165.28,23.73,2025-01-03,2027-01-03,-2.0500000000000007,-10.569999999999991
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,NHAI,1340.15,922.07,91.67,2023-01-05,2025-01-05,-0.8400000000000034,-6.949999999999932
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,PUNJAB,MINISTRYOFPETROLEUMNATURALGAS,151.0,8.96,2.0,2022-01-03,2033-09-01,0.0,-0.0599999999999987
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,344.71,54.48,72.0,2024-01-10,2025-01-09,0.0,-2.1000000000000014
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (BIHAR, UTTAR PRADESH)",NHAI,1433.39,561.54,45.02,2024-01-11,2026-01-11,-2.6099999999999994,2.5299999999999727
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,MAHARASHTRA,MINISTRYOFPETROLEUMNATURALGAS,865.0,84.85,3.4000000000000004,2022-01-03,,0.0,-4.38000000000001
MINISTRY OF RAILWAYS,RAILWAYS,CHHATTISGARH,SECR,177.34,32.49,11.0,2024-01-05,2027-01-02,8.0,-2.719999999999999
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NHAI,1581.24,1024.75,98.2,2021-01-02,2023-01-02,0.0,0.2400000000000091
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NHAI,976.41,370.82,73.0,2024-01-02,2026-01-02,0.0,0.0
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,ASSAM,MINISTRYOFPETROLEUMNATURALGAS,768.0,225.2,59.4,2022-01-06,2026-01-03,-0.7000000000000028,-25.64000000000001
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NHAI,912.94,357.89,86.63,2024-01-02,2026-01-02,-1.019999999999996,0.0
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,MADHYA PRADESH,MINISTRYOFPETROLEUMNATURALGAS,43367.0,5596.0,30.7,2023-01-05,2028-01-05,-2.8000000000000007,-508.0
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,WEST BENGAL,BHARAT PETROLEUM CORPORATION LIMITED [BPCL],1017.0,232.5,43.7,2022-01-12,2030-01-03,-0.0999999999999943,-5.909999999999997
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,HARYANA,NHAI,1810.04,1267.19,76.98,2021-01-11,2023-01-11,-0.7799999999999869,-0.3599999999998999
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,NHAI,615.78,524.03,98.02,2022-01-09,2024-01-09,0.0,-0.0800000000000409
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,NHAI,1181.68,1150.16,94.89,2023-01-02,2025-01-02,0.0,-2.980000000000018
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,BIHAR,BHARAT PETROLEUM CORPORATION LIMITED [BPCL],3638.0,489.42,33.5,2022-01-12,2030-01-03,-0.1000000000000014,-4.490000000000009
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,MAHARASHTRA,BHARAT PETROLEUM CORPORATION LIMITED [BPCL],2585.0,1416.51,85.39999999999999,2023-01-05,2026-01-05,-1.9000000000000057,-91.1099999999999
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TAMIL NADU,NHAI,837.61,641.93,99.75,2018-01-11,2020-01-11,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NHAI,909.02,289.88,60.57,2024-01-02,2026-01-02,-5.350000000000001,-0.160000000000025
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NHAI,1092.18,200.13,47.73,2025-01-02,2027-01-02,-6.830000000000005,-42.0
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,BIHAR,BHARAT PETROLEUM CORPORATION LIMITED [BPCL],3919.0,518.13,30.2,2022-01-12,2030-01-06,-0.1000000000000014,-9.019999999999982
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NHAI,1058.9,403.17,75.92,2024-01-02,2026-01-02,-1.0499999999999972,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TAMIL NADU,NHAI,1360.54,897.36,58.650000000000006,2022-01-05,2024-01-05,0.0,-7.480000000000018
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NHAI,750.81,250.23,86.13,2024-01-03,2026-01-03,-1.1099999999999994,-11.169999999999987
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,TAMIL NADU,BHARAT PETROLEUM CORPORATION LIMITED [BPCL],3685.0,297.76,25.5,2022-01-12,2030-01-03,0.0,-5.340000000000032
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,"MULTI-STATES (PUNJAB, RAJASTHAN)",BHARAT PETROLEUM CORPORATION LIMITED [BPCL],3207.0,422.99,31.0,2022-01-12,2030-01-06,-0.1000000000000014,-6.310000000000002
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TAMIL NADU,NHAI,1116.13,771.85,53.41,2023-01-12,2025-01-12,0.0,-32.84000000000003
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,NHAI,2032.15,1069.89,61.16,2022-01-08,2025-01-08,-0.2000000000000099,-16.34999999999991
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NHAI,1253.26,388.46,65.03999999999999,2024-01-02,2026-01-02,-2.010000000000005,-0.7300000000000182
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (HARYANA, PUNJAB)",NHAI,1641.66,1258.95,85.5,2023-01-10,2025-01-10,-4.510000000000005,-18.970000000000027
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,NAGALAND,MINISTRYOFPETROLEUMNATURALGAS,227.62,27.63,41.6,2023-01-08,2027-01-11,-1.3999999999999986,-0.4000000000000021
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (HARYANA, UTTAR PRADESH)",NHAI,1554.21,825.78,79.10000000000001,2023-01-05,2025-01-05,-3.649999999999992,-22.120000000000005
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,NHAI,1745.0,1103.13,99.8,2021-01-09,2023-01-09,0.0,-0.3599999999998999
MINISTRY OF RAILWAYS,RAILWAYS,ODISHA,EAST COAST RAILWAY [ECOR] - II,190.0,3.4,5.0,2025-01-05,2027-01-09,,
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,MAHARASHTRA,MINISTRYOFPETROLEUMNATURALGAS,341.43,304.75,72.39999999999999,2022-01-04,2026-01-08,-0.5,-0.2599999999999909
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,NHAI,309.9,94.8,24.7,2022-01-03,2024-01-03,0.0,0.0
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,UTTAR PRADESH,MINISTRYOFPETROLEUMNATURALGAS,260.12,24.1,55.7,2022-01-04,2027-01-06,-1.5999999999999943,0.5200000000000031
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,NHAI,1843.59,759.25,67.4,2023-01-05,2025-01-05,-0.7999999999999972,-0.07000000000005
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (JAMMU AND KASHMIR, PUNJAB)",NHAI,3044.02,1773.85,83.6,2022-01-09,2024-01-09,-3.700000000000003,-2.650000000000091
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NHAI,1200.42,282.03,45.04,2024-01-02,2026-01-02,-2.160000000000004,-0.1300000000000523
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,NHAI,610.78,336.7,100.0,2024-01-02,2026-01-01,0.0,-0.6999999999999886
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NHAI,1292.65,337.78,60.8,2024-01-02,2026-01-02,-3.4000000000000057,-20.63000000000005
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,NHAI,1317.74,1304.65,99.2,2021-01-02,2023-01-02,0.0,-62.54999999999996
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,KERALA,MINISTRYOFPETROLEUMNATURALGAS,4460.0,893.86,40.5,2023-01-12,2027-01-10,-4.700000000000003,-132.14
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,JHARKHAND,MINISTRYOFPETROLEUMNATURALGAS,202.07,65.3,58.1,2023-01-02,2026-01-02,-0.2999999999999971,-0.6800000000000068
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,NHAI,2185.75,717.01,29.13,2024-01-03,2026-01-03,-1.2800000000000011,-47.96000000000004
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NHAI,987.1,338.11,70.50999999999999,2024-01-03,2026-01-03,-3.2700000000000102,-0.339999999999975
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (HARYANA, UTTAR PRADESH)",NHAI,2920.69,1756.53,74.08,2023-01-06,2025-01-06,-2.219999999999999,-16.1400000000001
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,NHAI,750.53,833.12,97.93,2017-01-03,2019-01-09,,
MINISTRY OF RAILWAYS,RAILWAYS,CHHATTISGARH,SECR,167.64,28.01,11.0,2025-01-05,2026-01-12,1.0,-0.4299999999999997
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,NHAI,2919.8,3713.89,99.19,2019-01-12,2022-01-06,0.0,-1.9500000000002728
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NHAI,1012.57,702.32,84.0,2022-01-10,2024-01-10,-0.5999999999999943,-0.0799999999999272
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NHAI,1863.09,1677.08,98.6,2022-01-01,2024-01-01,0.0,-0.1100000000001273
MINISTRY OF POWER,ELECTRICITY GENERATION,BIHAR,NATIONAL THERMAL POWER CORPORATION [NTPC],29948.0,3099.94,13.65,2025-01-03,2030-01-07,-1.3499999999999996,-322.30999999999995
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ODISHA,NHAI,789.0,724.86,86.0,2020-01-02,2022-01-08,0.0,-0.1000000000000227
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TAMIL NADU,NHAI,555.8,235.51,100.0,2006-01-11,2009-01-05,,
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NHAI,992.91,320.05,77.21000000000001,2024-01-03,2026-01-03,0.0,-31.180000000000007
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,GUJARAT,OIL AND NATURAL GAS CORPORATION LIMITED [ONGC],1487.41,945.45,65.0,2022-01-08,2027-01-03,-1.0,-1.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,NHAI,1113.46,12.43,0.5,2026-01-04,2028-01-04,-0.3,-0.0099999999999997
MINISTRY OF HEALTH & FAMILY WELFARE,HEALTHCARE,UTTARAKHAND,"MEDICAL EDUCATION, MINISTRY OF HEALTH AND FAMILY WELFARE",325.0,327.08,84.0,2023-01-04,2026-01-12,6.0,-143.0
MINISTRY OF HOUSING & URBAN AFFAIRS,URBAN PUBLIC TRANSPORT,UTTAR PRADESH,UTTAR PRADESH METRO RAIL CORPORATION [UPMRC],5801.05,0.0,1.5,2026-01-05,,-0.5,-0.05
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,GUJARAT,OIL AND NATURAL GAS CORPORATION LIMITED [ONGC],249.43,218.03,97.5,2022-01-05,2025-01-02,-0.0999999999999943,-1.5300000000000011
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ODISHA,NHAI,795.18,713.62,99.0,2019-01-02,2021-01-08,0.0,-2.1200000000000045
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,NHAI,1857.58,929.35,33.48,2023-01-02,2025-01-02,-2.770000000000003,-27.92999999999995
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MADHYA PRADESH,NHAI,1081.51,369.26,40.25,2024-01-03,2026-01-03,0.0,-0.1999999999999886
"MINISTRY OF PORTS, SHIPPING AND WATERWAYS","TOURISM, HOSPITALITY & WELLNESS",GUJARAT,INDIAN PORT RAIL & ROPEWAY CORPORATION LTD. [IPRCL],573.0,636.91,78.92,2022-01-01,2024-01-03,-0.9499999999999886,-19.470000000000027
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,GUJARAT,OIL AND NATURAL GAS CORPORATION LIMITED [ONGC],173.03,167.98,94.5,2021-01-07,2025-01-07,-0.0999999999999943,-0.2400000000000091
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,NHAI,1660.19,1451.9,94.21,2021-01-11,2023-01-11,0.0,-0.099999999999909
MINISTRY OF HEALTH & FAMILY WELFARE,HEALTHCARE,PUNJAB,"MEDICAL EDUCATION, MINISTRY OF HEALTH AND FAMILY WELFARE",325.0,0.0,0.0,2027-01-07,2028-01-12,0.0,-50.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NHAI,711.94,566.96,100.0,2022-01-09,2024-01-09,,
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TAMIL NADU,NHAI,1205.4,86.0,8.58,2023-01-11,2026-01-05,0.0,-2.1599999999999966
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,NHAI,578.02,440.68,100.0,2022-01-12,2024-01-06,0.0,-0.25
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,ASSAM,MINISTRY OF PETROLEUM & NATURAL GAS,481.03,238.7,54.8,2023-01-01,2026-01-04,-0.6000000000000085,-0.1300000000000238
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,NHAI,2070.44,1048.83,73.08,2023-01-09,2025-01-09,-3.75,-68.18000000000006
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (ANDHRA PRADESH, TELANGANA)",NHAI,829.5,649.48,98.82,2022-01-09,2024-01-09,0.0,-0.0699999999999363
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TAMIL NADU,NHAI,1076.97,679.49,95.51,2023-01-02,2025-01-02,-0.4399999999999977,-6.029999999999973
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,GUJARAT,ADANI TRANSMISSION LIMITED,4500.0,2332.7,60.0,2024-01-08,2026-01-08,-10.0,-440.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,NHAI,797.36,684.51,96.4,2022-01-10,2024-01-10,-0.8599999999999994,-0.1100000000000136
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TAMIL NADU,NHAI,1376.1,180.68,40.8,2024-01-12,2026-01-12,-5.510000000000005,-1.0999999999999943
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,GUJARAT,OIL AND NATURAL GAS CORPORATION LIMITED [ONGC],837.34,451.61,70.1,2022-01-11,2026-01-08,-0.7999999999999972,-18.379999999999995
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NHAI,840.51,573.89,99.5,2022-01-03,2024-01-03,-0.3299999999999983,-0.0099999999999909
