MINISTRY,SECTOR,SLNO,PROJECT_NAME,AGENCY,PROJECT_CODES,STATE,DATE_OF_APPROVAL,START_DATE,ORIGINAL_TARGET_DOC,REVISED_DOC,ORIGINAL_COST_RS_CRORE,REVISED_COST_RS_CRORE,CUMULATIVE_EXPENDITURE_RS_CRORE,PHYSICAL_PROGRESS_PCT,SOURCE_PAGE,REPORT_MONTH,SOURCE_FILE,PHYSICAL_PROGRESS_PERCENT,PROJECT_ID
MINISTRY OF PETROLEUM & NATURAL GAS,ENERGY STORAGE,358.0,LAYING OF POL PIPELINES IN COMMON CORRIDOR FOR PROPOSED GRASS ROOT TERMINAL AT VALLUR [CHENNAI],MINISTRY OF PETROLEUM & NATURAL GAS,400043 | N16000455 | 4272,TAMIL NADU,1-01-22,1-01-22,1-05-26,1-05-26,829.0,829.0,350.21,0.762,72.0,APRIL,Project_Monitoring_April_2026.xlsx,76.2,400043
MINISTRY OF PETROLEUM & NATURAL GAS,ENERGY STORAGE,349.0,LAYING OF POL PIPELINES IN COMMON CORRIDOR FOR PROPOSED GRASS ROOT TERMINAL AT VALLUR [CHENNAI],MINISTRY OF PETROLEUM & NATURAL GAS,400043 | N16000455 | 4272,TAMIL NADU,1-01-22,1-01-22,1-05-26,1-03-27,829.0,829.0,378.18,0.78,71.0,MAY,Project_Monitoring_May_2026.xlsx,78.0,400043
MINISTRY OF PETROLEUM & NATURAL GAS,ENERGY STORAGE,344.0,LAYING OF POL PIPELINES IN COMMON CORRIDOR FOR PROPOSED GRASS ROOT TERMINAL AT VALLUR [CHENNAI],MINISTRY OF PETROLEUM & NATURAL GAS,400043 | - | -,TAMIL NADU,1-01-22,1-01-22,1-05-26,1-03-27,829.0,829.0,382.96,0.796,76.0,JUNE,Project_Monitoring_June_2026.xlsx,79.60000000000001,400043
MINISTRY OF PETROLEUM & NATURAL GAS,ENERGY STORAGE,339.0,LAYING OF POL PIPELINES IN COMMON CORRIDOR FOR PROPOSED GRASS ROOT TERMINAL AT VALLUR [CHENNAI],MINISTRYOFPETROLEUMNATURALGAS,400043 | - | -,TAMIL NADU,1-01-22,1-01-22,1-05-26,1-03-27,829.0,829.0,382.47,0.81,71.0,JULY,Project_Monitoring_July_2026.xlsx,81.0,400043
MINISTRY OF RAILWAYS,RAILWAYS,712.0,PROPOSED 6 NOS ROAD OVER BRIDGE [ROB] AT DIFFERENT LOCATIONS UNDER MCL TALCHER UNDER DEPOSIT SCHEME.,EAST COAST RAILWAY [ECOR] - II,400045 | - | 4299,ODISHA,1-08-22,1-07-22,1-03-25,1-01-25,168.32,168.32,69.85,0.82,89.0,APRIL,Project_Monitoring_April_2026.xlsx,82.0,400045
MINISTRY OF RAILWAYS,RAILWAYS,714.0,PROPOSED 6 NOS ROAD OVER BRIDGE [ROB] AT DIFFERENT LOCATIONS UNDER MCL TALCHER UNDER DEPOSIT SCHEME.,EAST COAST RAILWAY [ECOR] - II,400045 | - | 4299,ODISHA,1-08-22,1-07-22,1-03-25,1-01-25,168.32,168.32,69.85,0.82,88.0,MAY,Project_Monitoring_May_2026.xlsx,82.0,400045
MINISTRY OF RAILWAYS,RAILWAYS,700.0,PROPOSED 6 NOS ROAD OVER BRIDGE [ROB] AT DIFFERENT LOCATIONS UNDER MCL TALCHER UNDER DEPOSIT SCHEME.,EAST COAST RAILWAY [ECOR] - II,400045 | - | -,ODISHA,1-08-22,1-07-22,1-03-25,1-01-25,168.32,168.32,69.85,0.82,92.0,JUNE,Project_Monitoring_June_2026.xlsx,82.0,400045
MINISTRY OF RAILWAYS,RAILWAYS,663.0,PROPOSED 6 NOS ROAD OVER BRIDGE [ROB] AT DIFFERENT LOCATIONS UNDER MCL TALCHER UNDER DEPOSIT SCHEME.,EAST COAST RAILWAY [ECOR] - II,400045 | - | -,ODISHA,1-08-22,1-07-22,1-03-25,1-01-25,168.32,168.32,69.85,0.82,87.0,JULY,Project_Monitoring_July_2026.xlsx,82.0,400045
MINISTRY OF RAILWAYS,RAILWAYS,713.0,DOUBLING OF LINGARAJ SILO CONNECTIVITY OF NTPC LINE AND AUGMENTATION OF NTPC EXCHANGE YARD AND NTPC BLOCK CABIN.,EAST COAST RAILWAY [ECOR] - II,400047 | - | 4292,ODISHA,1-08-22,1-06-22,1-12-24,1-12-26,210.0,210.0,39.31,0.52,89.0,APRIL,Project_Monitoring_April_2026.xlsx,52.0,400047
MINISTRY OF RAILWAYS,RAILWAYS,715.0,DOUBLING OF LINGARAJ SILO CONNECTIVITY OF NTPC LINE AND AUGMENTATION OF NTPC EXCHANGE YARD AND NTPC BLOCK CABIN.,EAST COAST RAILWAY [ECOR] - II,400047 | - | 4292,ODISHA,1-08-22,1-06-22,1-12-24,1-12-26,210.0,210.0,40.56,0.52,88.0,MAY,Project_Monitoring_May_2026.xlsx,52.0,400047
